,date,search_term,interest
381,2022-03-27,efficient heater,18
382,2022-04-03,efficient heater,21
383,2022-04-10,efficient heater,7
384,2022-04-17,efficient heater,4
385,2022-04-24,efficient heater,7
386,2022-05-01,efficient heater,6
387,2022-05-08,efficient heater,7
388,2022-05-15,efficient heater,6
389,2022-05-22,efficient heater,12
390,2022-05-29,efficient heater,5
391,2022-06-05,efficient heater,0
392,2022-06-12,efficient heater,3
393,2022-06-19,efficient heater,6
394,2022-06-26,efficient heater,9
395,2022-07-03,efficient heater,8
396,2022-07-10,efficient heater,2
397,2022-07-17,efficient heater,3
398,2022-07-24,efficient heater,9
399,2022-07-31,efficient heater,7
400,2022-08-07,efficient heater,21
401,2022-08-14,efficient heater,9
402,2022-08-21,efficient heater,32
403,2022-08-28,efficient heater,38
404,2022-09-04,efficient heater,34
405,2022-09-11,efficient heater,45
406,2022-09-18,efficient heater,69
407,2022-09-25,efficient heater,100
408,2022-10-02,efficient heater,59
409,2022-10-09,efficient heater,51
410,2022-10-16,efficient heater,40
411,2022-10-23,efficient heater,22
412,2022-10-30,efficient heater,47
413,2022-11-06,efficient heater,46
414,2022-11-13,efficient heater,61
415,2022-11-20,efficient heater,69
416,2018-12-02,efficient boiler,0
417,2018-12-09,efficient boiler,34
418,2018-12-16,efficient boiler,11
419,2018-12-23,efficient boiler,0
420,2018-12-30,efficient boiler,41
421,2019-01-06,efficient boiler,26
422,2019-01-13,efficient boiler,15
423,2019-01-20,efficient boiler,28
424,2019-01-27,efficient boiler,24
425,2019-02-03,efficient boiler,38
426,2019-02-10,efficient boiler,11
427,2019-02-17,efficient boiler,0
428,2019-02-24,efficient boiler,0
429,2019-03-03,efficient boiler,0
430,2019-03-10,efficient boiler,28
431,2019-03-17,efficient boiler,65
432,2019-03-24,efficient boiler,0
433,2019-03-31,efficient boiler,0
434,2019-04-07,efficient boiler,14
435,2019-04-14,efficient boiler,27
436,2019-04-21,efficient boiler,11
437,2019-04-28,efficient boiler,0
438,2019-05-05,efficient boiler,12
439,2019-05-12,efficient boiler,28
440,2019-05-19,efficient boiler,0
441,2019-05-26,efficient boiler,11
442,2019-06-02,efficient boiler,0
443,2019-06-09,efficient boiler,29
444,2019-06-16,efficient boiler,0
445,2019-06-23,efficient boiler,0
446,2019-06-30,efficient boiler,15
447,2019-07-07,efficient boiler,0
448,2019-07-14,efficient boiler,0
449,2019-07-21,efficient boiler,0
450,2019-07-28,efficient boiler,12
