Database
Item code,ISO code,Unit,Year,Value,Source Code,Note,Title
toccfreschc,EE,Mtoe,2020,n.a.,TTU,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1990,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1991,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1992,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1993,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1994,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1995,2.8857,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1996,2.8626,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1997,2.9143,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1998,2.9842,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,1999,3.0556,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2000,3.2193,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2001,3.1269,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2002,3.1469,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2003,3.2390,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2004,3.2885,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2005,3.3794,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2006,3.4408,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2007,3.5431,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,FI,Mtoe,2008,3.6073,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
