,Lifter,Date,variable,value
229,Ben Lujan,10/01/2022,points_ipf_gl,98.38
230,Jeffrey Thompson,06/08/2022,points_ipf_gl,98.37
231,Mathew Tinson,08/13/2022,points_ipf_gl,98.16
232,Jeffrey Gonzalez,03/26/2022,points_ipf_gl,98.09
233,Tyler Wilson,03/26/2022,points_ipf_gl,98.09
234,McVay Stockwell,03/26/2022,points_ipf_gl,98.05
235,Derek LoGrande,06/08/2022,points_ipf_gl,98.05
236,Michael Bress,03/19/2022,points_ipf_gl,98.04
237,E.J. Thomas,04/09/2022,points_ipf_gl,98.01
238,Eric Jelen,05/28/2022,points_ipf_gl,97.98
239,Kevin Paul,10/15/2022,points_ipf_gl,97.91
240,Nathan McPeters,08/27/2022,points_ipf_gl,97.88
241,Quinton Briggs,03/26/2022,points_ipf_gl,97.88
242,Chris Yip,09/10/2022,points_ipf_gl,97.87
243,Michael Simonetti,04/02/2022,points_ipf_gl,97.87
244,Kyle Nowak,03/26/2022,points_ipf_gl,97.82
245,Matthew Middleton,09/10/2022,points_ipf_gl,97.81
246,Jordan Glenn,06/08/2022,points_ipf_gl,97.77
247,Lawrence Chambers,06/25/2022,points_ipf_gl,97.75
248,Liam Belcher,09/10/2022,points_ipf_gl,97.71
249,David Charles,10/08/2022,points_ipf_gl,97.7
250,Ryan Sanders,06/08/2022,points_ipf_gl,97.64
251,De'Quinton Gie,03/06/2022,points_ipf_gl,97.64
252,William Dunn,10/15/2022,points_ipf_gl,97.63
253,Noah Forman,06/08/2022,points_ipf_gl,97.61
254,Pedro Rabello,07/30/2022,points_ipf_gl,97.57
255,Tyler Wang,03/06/2022,points_ipf_gl,97.51
256,Jonah Liwag,07/03/2022,points_ipf_gl,97.46
257,James Bryant,06/08/2022,points_ipf_gl,97.45
258,Motti Goldberger,03/26/2022,points_ipf_gl,97.45
259,Cody Hartman,03/30/2022,points_ipf_gl,97.41
260,Sevon Bumper,04/30/2022,points_ipf_gl,97.38
261,Dwight Simmons,08/06/2022,points_ipf_gl,97.31
262,Tadriaun Logan,06/08/2022,points_ipf_gl,97.29
263,Fabion Moffett,02/05/2022,points_ipf_gl,97.29
264,Leandro Gerard Faraon,06/08/2022,points_ipf_gl,97.27
265,Jeffrey Chavez,06/08/2022,points_ipf_gl,97.2
266,Besim Muminovic,01/22/2022,points_ipf_gl,97.13
267,Gabriel Zakaryan,08/13/2022,points_ipf_gl,97.12
268,Paul Beck,09/10/2022,points_ipf_gl,97.12
269,Sawyer Yandell,02/26/2022,points_ipf_gl,97.12
270,Nicholas Larson,10/01/2022,points_ipf_gl,97.07
271,Richard Shorts,03/26/2022,points_ipf_gl,97.07
272,Zachary Watson,07/23/2022,points_ipf_gl,97.06
273,Dakota Snyder,02/12/2022,points_ipf_gl,97.0
274,Jonathan Lavoie,07/16/2022,points_ipf_gl,96.98
