,date,search_term,interest
399,2020-12-13,efficient boiler,10
400,2020-12-20,efficient boiler,9
401,2020-12-27,efficient boiler,16
402,2021-01-03,efficient boiler,28
403,2021-01-10,efficient boiler,34
404,2021-01-17,efficient boiler,20
405,2021-01-24,efficient boiler,17
406,2021-01-31,efficient boiler,0
407,2021-02-07,efficient boiler,47
408,2021-02-14,efficient boiler,15
409,2021-02-21,efficient boiler,0
410,2021-02-28,efficient boiler,26
411,2021-03-07,efficient boiler,23
412,2021-03-14,efficient boiler,31
413,2021-03-21,efficient boiler,0
414,2021-03-28,efficient boiler,0
415,2021-04-04,efficient boiler,8
416,2021-04-11,efficient boiler,0
417,2021-04-18,efficient boiler,21
418,2021-04-25,efficient boiler,19
419,2021-05-02,efficient boiler,10
420,2021-05-09,efficient boiler,0
421,2021-05-16,efficient boiler,0
422,2021-05-23,efficient boiler,0
423,2021-05-30,efficient boiler,17
424,2021-06-06,efficient boiler,0
425,2021-06-13,efficient boiler,12
426,2021-06-20,efficient boiler,0
427,2021-06-27,efficient boiler,21
428,2021-07-04,efficient boiler,12
429,2021-07-11,efficient boiler,10
430,2021-07-18,efficient boiler,18
431,2021-07-25,efficient boiler,23
432,2021-08-01,efficient boiler,12
433,2021-08-08,efficient boiler,10
434,2021-08-15,efficient boiler,22
435,2021-08-22,efficient boiler,20
436,2021-08-29,efficient boiler,18
437,2021-09-05,efficient boiler,10
438,2021-09-12,efficient boiler,0
439,2021-09-19,efficient boiler,15
440,2021-09-26,efficient boiler,26
441,2021-10-03,efficient boiler,57
442,2021-10-10,efficient boiler,35
443,2021-10-17,efficient boiler,53
444,2021-10-24,efficient boiler,42
445,2021-10-31,efficient boiler,33
446,2021-11-07,efficient boiler,37
447,2021-11-14,efficient boiler,47
448,2021-11-21,efficient boiler,18
449,2021-11-28,efficient boiler,55
450,2021-12-05,efficient boiler,16
451,2021-12-12,efficient boiler,10
452,2021-12-19,efficient boiler,17
453,2021-12-26,efficient boiler,17
454,2022-01-02,efficient boiler,0
455,2022-01-09,efficient boiler,46
456,2022-01-16,efficient boiler,37
457,2022-01-23,efficient boiler,42
458,2022-01-30,efficient boiler,49
459,2022-02-06,efficient boiler,53
460,2022-02-13,efficient boiler,32
461,2022-02-20,efficient boiler,28
462,2022-02-27,efficient boiler,52
463,2022-03-06,efficient boiler,75
464,2022-03-13,efficient boiler,0
465,2022-03-20,efficient boiler,42
466,2022-03-27,efficient boiler,73
467,2022-04-03,efficient boiler,56
468,2022-04-10,efficient boiler,10
469,2022-04-17,efficient boiler,35
470,2022-04-24,efficient boiler,26
471,2022-05-01,efficient boiler,22
472,2022-05-08,efficient boiler,36
473,2022-05-15,efficient boiler,27
474,2022-05-22,efficient boiler,33
475,2022-05-29,efficient boiler,23
