,search_term,year,month,interest,date,interest_sa,price
190,efficient boiler,2021,3,13.25,2021-03-01,12.742598586885293,105.2
191,efficient heater,2021,3,4.25,2021-03-01,12.869282734731371,105.2
192,energy efficient,2021,3,11.5,2021-03-01,13.683877664752869,105.2
193,insulation,2021,3,63.5,2021-03-01,77.83309093256194,105.2
194,secondary glazing,2021,3,23.5,2021-03-01,32.66291575767336,105.2
195,triple glazing,2021,3,39.5,2021-03-01,49.22466786425164,105.2
196,double glazing,2021,4,74.75,2021-04-01,76.2328063825312,107.6
197,efficient boiler,2021,4,20.0,2021-04-01,31.808799293442636,107.6
198,efficient heater,2021,4,7.0,2021-04-01,17.101308034032364,107.6
199,energy efficient,2021,4,13.5,2021-04-01,15.79332772126533,107.6
200,insulation,2021,4,58.25,2021-04-01,76.4373787996143,107.6
201,secondary glazing,2021,4,25.75,2021-04-01,39.42173565661446,107.6
202,triple glazing,2021,4,23.75,2021-04-01,39.20261170990359,107.6
203,double glazing,2021,5,57.8,2021-05-01,64.01313713407535,107.7
204,efficient boiler,2021,5,18.0,2021-05-01,28.890212382943965,107.7
205,efficient heater,2021,5,4.6,2021-05-01,15.25875192721532,107.7
206,energy efficient,2021,5,13.0,2021-05-01,17.02804207323412,107.7
207,insulation,2021,5,50.8,2021-05-01,72.2990314472821,107.7
208,secondary glazing,2021,5,16.6,2021-05-01,31.686837471388884,107.7
209,triple glazing,2021,5,20.8,2021-05-01,40.75760767203572,107.7
210,double glazing,2021,6,55.5,2021-06-01,60.784201424923026,107.9
211,efficient boiler,2021,6,4.75,2021-06-01,19.217808193411724,107.9
212,efficient heater,2021,6,0.5,2021-06-01,12.41945897694551,107.9
213,energy efficient,2021,6,9.5,2021-06-01,15.310411680829615,107.9
214,insulation,2021,6,43.75,2021-06-01,65.60376701692674,107.9
215,secondary glazing,2021,6,16.5,2021-06-01,31.75191598127833,107.9
216,triple glazing,2021,6,21.25,2021-06-01,39.94702798752063,107.9
217,double glazing,2021,7,53.0,2021-07-01,53.24750368058666,108.1
218,efficient boiler,2021,7,11.0,2021-07-01,23.59238439347739,108.1
219,efficient heater,2021,7,3.0,2021-07-01,14.497579783430044,108.1
220,energy efficient,2021,7,11.75,2021-07-01,14.807781152608541,108.1
221,insulation,2021,7,43.0,2021-07-01,62.84110555985794,108.1
222,secondary glazing,2021,7,9.5,2021-07-01,25.07469441279549,108.1
223,triple glazing,2021,7,16.0,2021-07-01,27.578401529560452,108.1
224,double glazing,2021,8,54.4,2021-08-01,52.93149694988657,108.2
225,efficient boiler,2021,8,20.8,2021-08-01,24.01023829343899,108.2
226,efficient heater,2021,8,4.4,2021-08-01,9.771019935738803,108.2
227,energy efficient,2021,8,11.2,2021-08-01,8.046875740963817,108.2
228,insulation,2021,8,45.4,2021-08-01,60.79893687636693,108.2
