,date,search_term,interest,year,month,year_trend,interest_sa
1339,2020-08-30,secondary glazing,35,2020,8,2.0,45.8573657076321
1340,2020-09-06,secondary glazing,21,2020,9,2.0,15.742463312058927
1341,2020-09-13,secondary glazing,17,2020,9,2.0,11.742463312058927
1342,2020-09-20,secondary glazing,33,2020,9,2.0,27.742463312058927
1343,2020-09-27,secondary glazing,27,2020,9,2.0,21.742463312058927
1344,2020-10-04,secondary glazing,49,2020,10,2.0,38.111111111111114
1346,2020-10-18,secondary glazing,41,2020,10,2.0,30.111111111111118
1347,2020-10-25,secondary glazing,36,2020,10,2.0,25.111111111111118
1348,2020-11-01,secondary glazing,35,2020,11,2.0,25.349679906495997
1349,2020-11-08,secondary glazing,25,2020,11,2.0,15.349679906495997
1350,2020-11-15,secondary glazing,25,2020,11,2.0,15.349679906495997
1351,2020-11-22,secondary glazing,31,2020,11,2.0,21.349679906495997
1352,2020-11-29,secondary glazing,31,2020,11,2.0,21.349679906495997
1353,2020-12-06,secondary glazing,25,2020,12,2.0,31.09768945061975
1354,2020-12-13,secondary glazing,13,2020,12,2.0,19.09768945061975
1355,2020-12-20,secondary glazing,12,2020,12,2.0,18.09768945061975
1345,2020-10-11,secondary glazing,42,2020,10,2.0,31.111111111111118
1307,2020-01-19,secondary glazing,21,2020,1,2.0,21.0
1308,2020-01-26,secondary glazing,29,2020,1,2.0,29.0
1309,2020-02-02,secondary glazing,26,2020,2,2.0,26.6351434854099
1310,2020-02-09,secondary glazing,31,2020,2,2.0,31.6351434854099
1311,2020-02-16,secondary glazing,31,2020,2,2.0,31.6351434854099
1312,2020-02-23,secondary glazing,28,2020,2,2.0,28.6351434854099
1313,2020-03-01,secondary glazing,23,2020,3,2.0,32.21473141526418
1314,2020-03-08,secondary glazing,17,2020,3,2.0,26.214731415264183
1315,2020-03-15,secondary glazing,16,2020,3,2.0,25.214731415264183
1316,2020-03-22,secondary glazing,7,2020,3,2.0,16.214731415264183
1306,2020-01-12,secondary glazing,18,2020,1,2.0,18.0
1317,2020-03-29,secondary glazing,9,2020,3,2.0,18.214731415264183
1319,2020-04-12,secondary glazing,15,2020,4,2.0,28.697643485409895
1320,2020-04-19,secondary glazing,13,2020,4,2.0,26.697643485409895
1321,2020-04-26,secondary glazing,11,2020,4,2.0,24.697643485409895
1322,2020-05-03,secondary glazing,13,2020,5,2.0,28.275962587881814
1323,2020-05-10,secondary glazing,14,2020,5,2.0,29.275962587881814
1324,2020-05-17,secondary glazing,19,2020,5,2.0,34.275962587881814
1325,2020-05-24,secondary glazing,16,2020,5,2.0,31.275962587881814
1326,2020-05-31,secondary glazing,19,2020,5,2.0,34.275962587881814
1318,2020-04-05,secondary glazing,12,2020,4,2.0,25.697643485409895
1305,2020-01-05,secondary glazing,30,2020,1,2.0,30.0
1408,2021-12-26,secondary glazing,9,2021,12,3.0,15.097689450619752
1369,2021-03-28,secondary glazing,18,2021,3,3.0,27.214731415264183
1370,2021-04-04,secondary glazing,28,2021,4,3.0,41.69764348540989
1371,2021-04-11,secondary glazing,27,2021,4,3.0,40.69764348540989
1372,2021-04-18,secondary glazing,20,2021,4,3.0,33.69764348540989
1373,2021-04-25,secondary glazing,28,2021,4,3.0,41.69764348540989
1374,2021-05-02,secondary glazing,21,2021,5,3.0,36.275962587881814
1375,2021-05-09,secondary glazing,18,2021,5,3.0,33.275962587881814
1376,2021-05-16,secondary glazing,11,2021,5,3.0,26.275962587881814
1377,2021-05-23,secondary glazing,24,2021,5,3.0,39.275962587881814
1378,2021-05-30,secondary glazing,9,2021,5,3.0,24.275962587881814
1368,2021-03-21,secondary glazing,21,2021,3,3.0,30.214731415264183
1379,2021-06-06,secondary glazing,17,2021,6,3.0,32.0954044885295
1381,2021-06-20,secondary glazing,5,2021,6,3.0,20.095404488529503
1382,2021-06-27,secondary glazing,24,2021,6,3.0,39.0954044885295
1383,2021-07-04,secondary glazing,14,2021,7,3.0,29.29252954111376
1384,2021-07-11,secondary glazing,0,2021,7,3.0,15.292529541113757
1386,2021-07-25,secondary glazing,13,2021,7,3.0,28.29252954111376
1387,2021-08-01,secondary glazing,20,2021,8,3.0,30.85736570763209
1388,2021-08-08,secondary glazing,16,2021,8,3.0,26.85736570763209
1389,2021-08-15,secondary glazing,19,2021,8,3.0,29.85736570763209
1390,2021-08-22,secondary glazing,7,2021,8,3.0,17.85736570763209
1380,2021-06-13,secondary glazing,20,2021,6,3.0,35.0954044885295
1391,2021-08-29,secondary glazing,19,2021,8,3.0,29.85736570763209
1367,2021-03-14,secondary glazing,28,2021,3,3.0,37.21473141526418
1365,2021-02-28,secondary glazing,32,2021,2,3.0,32.6351434854099
1366,2021-03-07,secondary glazing,27,2021,3,3.0,36.21473141526418
1357,2021-01-03,secondary glazing,43,2021,1,3.0,43.0
1358,2021-01-10,secondary glazing,34,2021,1,3.0,34.0
1359,2021-01-17,secondary glazing,35,2021,1,3.0,35.0
1360,2021-01-24,secondary glazing,32,2021,1,3.0,32.0
1361,2021-01-31,secondary glazing,32,2021,1,3.0,32.0
1362,2021-02-07,secondary glazing,54,2021,2,3.0,54.6351434854099
1363,2021-02-14,secondary glazing,26,2021,2,3.0,26.6351434854099
1364,2021-02-21,secondary glazing,16,2021,2,3.0,16.6351434854099
1392,2021-09-05,secondary glazing,19,2021,9,3.0,13.742463312058929
1385,2021-07-18,secondary glazing,11,2021,7,3.0,26.29252954111376
1394,2021-09-19,secondary glazing,26,2021,9,3.0,20.74246331205893
1393,2021-09-12,secondary glazing,21,2021,9,3.0,15.742463312058929
1395,2021-09-26,secondary glazing,42,2021,9,3.0,36.74246331205893
1396,2021-10-03,secondary glazing,42,2021,10,3.0,31.111111111111114
1397,2021-10-10,secondary glazing,38,2021,10,3.0,27.111111111111114
1398,2021-10-17,secondary glazing,48,2021,10,3.0,37.111111111111114
1400,2021-10-31,secondary glazing,51,2021,10,3.0,40.111111111111114
1401,2021-11-07,secondary glazing,43,2021,11,3.0,33.349679906496
1402,2021-11-14,secondary glazing,27,2021,11,3.0,17.349679906496
1403,2021-11-21,secondary glazing,40,2021,11,3.0,30.349679906496
1404,2021-11-28,secondary glazing,41,2021,11,3.0,31.349679906496
1405,2021-12-05,secondary glazing,34,2021,12,3.0,40.097689450619754
1399,2021-10-24,secondary glazing,20,2021,10,3.0,9.111111111111112
1407,2021-12-19,secondary glazing,19,2021,12,3.0,25.097689450619754
1406,2021-12-12,secondary glazing,22,2021,12,3.0,28.097689450619754
1423,2022-04-10,secondary glazing,28,2022,4,4.0,41.69764348540989
1424,2022-04-17,secondary glazing,21,2022,4,4.0,34.69764348540989
1425,2022-04-24,secondary glazing,16,2022,4,4.0,29.69764348540989
1426,2022-05-01,secondary glazing,35,2022,5,4.0,50.275962587881814
1427,2022-05-08,secondary glazing,14,2022,5,4.0,29.275962587881814
1428,2022-05-15,secondary glazing,25,2022,5,4.0,40.275962587881814
1429,2022-05-22,secondary glazing,18,2022,5,4.0,33.275962587881814
1430,2022-05-29,secondary glazing,14,2022,5,4.0,29.275962587881814
1431,2022-06-05,secondary glazing,28,2022,6,4.0,43.0954044885295
1432,2022-06-12,secondary glazing,24,2022,6,4.0,39.0954044885295
1433,2022-06-19,secondary glazing,17,2022,6,4.0,32.0954044885295
1434,2022-06-26,secondary glazing,30,2022,6,4.0,45.0954044885295
1435,2022-07-03,secondary glazing,17,2022,7,4.0,32.29252954111375
