,date,search_term,interest,month,year,m_1,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,y_2018,y_2019,y_2020,y_2021,y_2022,interest_sa
147,2021-09-26,insulation,63,9,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,68.55964936986791
148,2021-10-03,insulation,69,10,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67.88888888888887
149,2021-10-10,insulation,64,10,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.88888888888887
150,2021-10-17,insulation,75,10,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.88888888888887
151,2021-10-24,insulation,67,10,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.88888888888887
152,2021-10-31,insulation,81,10,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.88888888888887
153,2021-11-07,insulation,68,11,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64.13618278552711
154,2021-11-14,insulation,63,11,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59.13618278552711
155,2021-11-21,insulation,70,11,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66.13618278552711
156,2021-11-28,insulation,77,11,2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.13618278552711
157,2021-12-05,insulation,65,12,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,78.40854649174848
158,2021-12-12,insulation,50,12,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,63.40854649174848
159,2021-12-19,insulation,39,12,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52.40854649174848
160,2021-12-26,insulation,39,12,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52.40854649174848
161,2022-01-02,insulation,63,1,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.0
162,2022-01-09,insulation,82,1,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82.0
163,2022-01-16,insulation,74,1,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.0
164,2022-01-23,insulation,75,1,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75.0
165,2022-01-30,insulation,73,1,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.0
166,2022-02-06,insulation,77,2,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,81.31237879961431
167,2022-02-13,insulation,71,2,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,75.31237879961431
